Marca,Modelo,Ano,Tipo,Encaixe,Sensor,MP,Processador,IBIS,Peso (Corpo),Tipo de visor,Tela,Tela touch,Pontos AF (Visor),AF (Display),FPS RAW,Buffer RAW,Vídeo,Entrada de microfone,Saída de fone,Conectividade
Canon,DCS 5,1995,DSLR (adaptado),Canon EF,Sensor pequeno (2.6x crop),1.5,Nao possui (pre-DIGIC - Kodak),Nao possui,1800g,Pentaprisma - 100% (aprox.),Nao possui,Nao possui,5 pontos,Nao possui Live View,2.5 fps,10 fotos,Nao grava video,Nao possui,Nao possui,Nenhuma
Canon,DCS 3,1995,DSLR (adaptado),Canon EF,APS-C (aprox. 1.5x),1.3,Nao possui (pre-DIGIC - Kodak),Nao possui,1800g,Pentaprisma - 100% (aprox.),Nao possui,Nao possui,5 pontos,Nao possui Live View,2.7 fps,8 fotos,Nao grava video,Nao possui,Nao possui,Nenhuma
Canon,DCS 1,1995,DSLR (adaptado),Canon EF,APS-H,6.2,Nao possui (pre-DIGIC - Kodak),Nao possui,1800g,Pentaprisma - 100% (aprox.),Nao possui,Nao possui,5 pontos,Nao possui Live View,~2 fps (aprox.),poucas fotos (aprox.),Nao grava video,Nao possui,Nao possui,Nenhuma
Canon,D2000,1998,DSLR (adaptado),Canon EF,APS-C,2,Nao possui (pre-DIGIC - Kodak),Nao possui,1650g,Pentaprisma - 100% (aprox.),Fixa 1.8 pol,Nao possui,5 pontos (aprox.),Nao possui Live View,3.5 fps,poucas fotos (aprox.),Nao grava video,Nao possui,Nao possui,Nenhuma
Canon,D6000,1998,DSLR (adaptado),Canon EF,APS-C,6,Nao possui (pre-DIGIC - Kodak),Nao possui,~1650g (aprox.),Pentaprisma - 100% (aprox.),Fixa 1.8 pol,Nao possui,5 pontos (aprox.),Nao possui Live View,~3.5 fps (aprox.),poucas fotos (aprox.),Nao grava video,Nao possui,Nao possui,Nenhuma
Canon,D30,2000,DSLR,Canon EF,APS-C,3.1,Nao possui (pre-DIGIC),Nao possui,780g,Pentaprisma - 95% (aprox.),Fixa 1.8 pol (114k pontos),Nao possui,3 pontos,Nao possui Live View,3 fps,8 fotos,Nao grava video,Nao possui,Nao possui,Nenhuma
Canon,EOS-1D,2001,DSLR,Canon EF,APS-H,4.15,Nao possui (pre-DIGIC),Nao possui,1250g,Pentaprisma - 100%,Fixa 2.0 pol (120k pontos),Nao possui,45 pontos,Nao possui Live View,8 fps,21 fotos,Nao grava video,Nao possui,Nao possui,Nenhuma
Canon,D60,2002,DSLR,Canon EF,APS-C,6.3,DIGIC,Nao possui,~780g (aprox.),Pentaprisma - 95% (aprox.),Fixa 1.8 pol (114k pontos),Nao possui,3 pontos,Nao possui Live View,3 fps,8 fotos (aprox.),Nao grava video,Nao possui,Nao possui,Nenhuma
Canon,EOS-1Ds,2002,DSLR,Canon EF,Full Frame,11.1,DIGIC,Nao possui,1265g,Pentaprisma - 100%,Fixa 2.0 pol (120k pontos),Nao possui,45 pontos,Nao possui Live View,3 fps,10 fotos,Nao grava video,Nao possui,Nao possui,Nenhuma
Canon,Digital Rebel,2003,DSLR,Canon EF / EF-S,APS-C,6.3,DIGIC,Não possui,560g,Pentaespelho - 95%,Fixa 1.8 pol (118k pontos),Não possui,7 pontos,Não possui Live View,2.5 fps,4 fotos,Não grava vídeo,Não possui,Não possui,Nenhuma
Canon,EOS 10D,2003,DSLR,Canon EF,APS-C,6.3,DIGIC,Nao possui,790g,Pentaprisma - 95%,Fixa 1.8 pol (118k pontos),Nao possui,7 pontos (1 em cruz central),Nao possui Live View,3 fps,9 fotos,Nao grava video,Nao possui,Nao possui,Nenhuma
Canon,EOS-1D Mark II,2004,DSLR,Canon EF,APS-H,8.2,DIGIC II,Nao possui,~1170g (aprox.),Pentaprisma - 100%,Fixa 2.0 pol (230k pontos),Nao possui,45 pontos,Nao possui Live View,8.5 fps,20 fotos,Nao grava video,Nao possui,Nao possui,Nenhuma
Canon,EOS 20D,2004,DSLR,Canon EF-S,APS-C,8.2,DIGIC II,Nao possui,685g,Pentaprisma - 95%,Fixa 1.8 pol (118k pontos),Nao possui,9 pontos,Nao possui Live View,5 fps,6 fotos,Nao grava video,Nao possui,Nao possui,Nenhuma
Canon,EOS-1Ds Mark II,2004,DSLR,Canon EF,Full Frame,16.7,DIGIC II,Nao possui,1215g,Pentaprisma - 100%,Fixa 2.0 pol (230k pontos),Nao possui,45 pontos,Nao possui Live View,4.5 fps,~11 fotos (aprox.),Nao grava video,Nao possui,Nao possui,Nenhuma
Canon,Rebel XT,2005,DSLR,Canon EF / EF-S,APS-C,8,DIGIC 2,Não possui,540g,Pentaespelho - 95%,Fixa 1.8 pol (115k pontos),Não possui,7 pontos,Não possui Live View,3 fps,4 fotos,Não grava vídeo,Não possui,Não possui,Nenhuma
Canon,EOS 20Da,2005,DSLR (astrofotografia),Canon EF-S,APS-C,8.2,DIGIC II,Nao possui,~685g (aprox.),Pentaprisma - 95%,Fixa 1.8 pol (118k pontos),Nao possui,9 pontos,Contraste (Live View) - primeira EOS com Live View,5 fps,6 fotos (aprox.),Nao grava video,Nao possui,Nao possui,Nenhuma
Canon,EOS-1D Mark II N,2005,DSLR,Canon EF,APS-H,8.2,DIGIC II,Nao possui,~1170g (aprox.),Pentaprisma - 100%,Fixa 2.0 pol (230k pontos),Nao possui,45 pontos,Nao possui Live View,8.5 fps,20 fotos,Nao grava video,Nao possui,Nao possui,Nenhuma
Canon,EOS 5D,2005,DSLR,Canon EF,Full Frame,12.7,DIGIC II,Nao possui,810g,Pentaprisma - 96% (aprox.),Fixa 2.5 pol (230k pontos),Nao possui,9 pontos + 6 de assistencia,Nao possui Live View,3 fps,~17 fotos (aprox.),Nao grava video,Nao possui,Nao possui,Nenhuma
Canon,Rebel XTi,2006,DSLR,Canon EF / EF-S,APS-C,10.1,DIGIC 2,Não possui,510g,Pentaespelho - 95%,Fixa 2.5 pol (230k pontos),Não possui,9 pontos,Não possui Live View,3 fps,10 fotos,Não grava vídeo,Não possui,Não possui,Nenhuma
Canon,EOS 30D,2006,DSLR,Canon EF-S,APS-C,8.2,DIGIC II,Nao possui,700g,Pentaprisma - 95% (aprox.),Fixa 2.5 pol (230k pontos),Nao possui,9 pontos,Nao possui Live View,5 fps,~11 fotos (aprox.),Nao grava video,Nao possui,Nao possui,Nenhuma
Canon,EOS-1D Mark III,2007,DSLR,Canon EF,APS-H,10.1,DIGIC III (duplo),Nao possui,~1150g (aprox.),Pentaprisma - 100%,Fixa 3.0 pol (230k pontos),Nao possui,45 pontos (19 em cruz + 26 assistencia),Contraste (Live View),10 fps,30 fotos,Nao grava video,Nao possui,Nao possui,Nenhuma
Canon,EOS 40D,2007,DSLR,Canon EF-S,APS-C,10.1,DIGIC III,Nao possui,740g,Pentaprisma - 95%,Fixa 3.0 pol (230k pontos),Nao possui,9 pontos (todos em cruz),Contraste (Live View),6.5 fps,~17 fotos (aprox.),Nao grava video,Nao possui,Nao possui,Nenhuma
Canon,EOS-1Ds Mark III,2007,DSLR,Canon EF,Full Frame,21.1,DIGIC III (duplo),Nao possui,1205g,Pentaprisma - 100%,Fixa 3.0 pol (230k pontos),Nao possui,45 pontos (19 em cruz + 26 assistencia),Contraste (Live View),5 fps,~12 fotos (aprox.),Nao grava video,Nao possui,Nao possui,Nenhuma
Canon,Rebel XSi,2008,DSLR,Canon EF / EF-S,APS-C,12.2,DIGIC III,Não possui,475g,Pentaespelho - 95%,Fixa 3 pol (230k pontos),Não possui,9 pontos,Contraste (Live View),3.5 fps,6 fotos,Não grava vídeo,Não possui,Não possui,Nenhuma
Canon,Rebel XS,2008,DSLR,Canon EF / EF-S,APS-C,10.1,DIGIC III,Não possui,~450g (aprox.),Pentaespelho - 95%,Fixa 2.5 pol (230k pontos),Não possui,7 pontos,Contraste (Live View),3 fps,~5 fotos (aprox.),Não grava vídeo,Não possui,Não possui,Nenhuma
Canon,EOS 50D,2008,DSLR,Canon EF-S,APS-C,15.1,DIGIC 4,Nao possui,~730g (aprox.),Pentaprisma - 95%,Fixa 3.0 pol (920k pontos),Nao possui,9 pontos (cruz central),Contraste (Live View) - com deteccao de rosto,6.3 fps,~16 fotos (aprox.),Nao grava video,Nao possui,Nao possui,Nenhuma
Canon,EOS 5D Mark II,2008,DSLR,Canon EF,Full Frame,21,DIGIC 4,Nao possui,810g,Pentaprisma - 98%,Fixa 3.0 pol (921k pontos),Nao possui,9 pontos + 6 de assistencia,Contraste (Live View) - funciona em video,3.9 fps,~13 fotos (aprox.),1080p 30fps sem crop - pioneira em video DSLR,Sim (P2 3.5mm),Nao possui,Nenhuma
Canon,Rebel T1i,2009,DSLR,Canon EF / EF-S,APS-C,15.1,DIGIC 4,Não possui,~480g (aprox.),Pentaespelho - 95%,Fixa 3 pol (920k pontos),Não possui,9 pontos,Contraste (Live View),3.4 fps,~9 fotos (aprox.),1080p 20fps / 720p 30fps sem crop,Não possui,Não possui,Nenhuma
Canon,EOS 7D,2009,DSLR,Canon EF-S,APS-C,18,DIGIC 4,Nao possui,820g,Pentaprisma - 100%,Fixa 3.0 pol (920k pontos),Nao possui,19 pontos (todos em cruz),Contraste (Live View) - funciona em video,8 fps,~15 fotos (aprox.),1080p 30fps sem crop,Sim (P2 3.5mm),Nao possui,Nenhuma
Canon,EOS-1D Mark IV,2009,DSLR,Canon EF,APS-H,16.1,DIGIC 4 (duplo),Nao possui,1180g,Pentaprisma - 100%,Fixa 3.0 pol (920k pontos),Nao possui,45 pontos (39 em cruz),Contraste (Live View) - funciona em video,10 fps,28 fotos,1080p 30fps sem crop,Sim (P2 3.5mm),Sim (P2 3.5mm),Nenhuma
Sony,NEX-3,2010,Mirrorless,Sony E-mount,APS-C,14.2,BIONZ,Nao possui,297g,Nao possui visor integrado (opcional externo - optico),Fixa (tilt) 3.0 pol (921k pontos),Nao possui,25 pontos (contraste),Contraste - nao funciona em video (sem AF continuo),7 fps (2.3 fps com AF continuo),~7 fotos (aprox.),720p 30fps sem crop,Nao possui,Nao possui,Nenhuma
Sony,NEX-5,2010,Mirrorless,Sony E-mount,APS-C,14.2,BIONZ,Nao possui,287g,Nao possui visor integrado (opcional externo - optico),Fixa (tilt) 3.0 pol (920k pontos),Nao possui,25 pontos (contraste),Contraste - funciona em video (AVCHD),7 fps (2.3 fps com AF continuo),~7 fotos (aprox.),1080i 60fps sem crop (AVCHD),Nao possui,Nao possui,Nenhuma
Canon,Rebel T2i,2010,DSLR,Canon EF / EF-S,APS-C,18,DIGIC 4,Não possui,530g,Pentaespelho - 95%,Fixa 3 pol (1040k pontos),Não possui,9 pontos (1 em cruz),Contraste (Live View) - foco único em vídeo,3.7 fps,6 fotos,1080p 30fps sem crop,Sim (P2 3.5mm),Não possui,Nenhuma
Canon,EOS 60D,2010,DSLR,Canon EF-S,APS-C,18,DIGIC 4,Nao possui,755g,Pentaprisma - 96%,Articulada 3.0 pol (1040k pontos),Nao possui,9 pontos (todos em cruz),Contraste (Live View) - funciona em video,5.3 fps,~16 fotos (aprox.),1080p 30fps sem crop - primeira EOS com tela articulada,Sim (P2 3.5mm),Nao possui,Nenhuma
Canon,Rebel T3,2011,DSLR,Canon EF / EF-S,APS-C,12.2,DIGIC 4,Não possui,495g,Pentaespelho - 95%,Fixa 2.7 pol (230k pontos),Não possui,9 pontos,Contraste (Live View) - manual em vídeo,3 fps,5 fotos,720p 30fps sem crop,Não possui,Não possui,Nenhuma
Canon,Rebel T3i,2011,DSLR,Canon EF / EF-S,APS-C,18,DIGIC 4,Não possui,570g,Pentaespelho - 95%,Articulada 3 pol (1040k pontos),Não possui,9 pontos (1 em cruz),Contraste (Live View) - manual em vídeo,3.7 fps,~6 fotos (aprox.),1080p 30fps sem crop,Sim (P2 3.5mm),Não possui,Nenhuma
Canon,EOS-1D X,2011,DSLR,Canon EF,Full Frame,18.1,DIGIC 5+ (duplo),Nao possui,1340g,Pentaprisma - 100%,Fixa 3.2 pol (1040k pontos),Nao possui,61 pontos (41 em cruz),Contraste (Live View) - funciona em video,12 fps,~30 fotos (aprox.),1080p 30fps sem crop,Sim (P2 3.5mm),Sim (P2 3.5mm),Nenhuma (sem Wi-Fi integrado)
Sony,NEX-C3,2011,Mirrorless,Sony E-mount,APS-C,16.2,BIONZ,Nao possui,225g (corpo - sem bateria/cartao),Nao possui,Fixa (tilt) 3.0 pol (920k pontos - aprox.),Nao possui,25 pontos (contraste),Contraste - funciona em video,~6 fps (aprox.),~7 fotos (aprox.),1080i 60fps sem crop (AVCHD - aprox.),Nao possui,Nao possui,Nenhuma
Sony,NEX-5N,2011,Mirrorless,Sony E-mount,APS-C,16.1,BIONZ,Nao possui,~269g (aprox.),Nao possui visor integrado (opcional externo eletronico FDA-EV1S),Fixa (tilt) touch 3.0 pol (920k pontos),Sim - com foco ao toque,25 pontos (contraste),Contraste - funciona em video,10 fps (3 fps com AF continuo),~13 fotos (aprox.),1080p 60fps sem crop (AVCHD 2.0),Sim (P2 3.5mm),Nao possui,Nenhuma
Sony,NEX-7,2011,Mirrorless,Sony E-mount,APS-C,24.3,BIONZ,Nao possui,353g,Eletronico OLED integrado (2360k pontos) - primeira NEX com EVF integrado,Fixa (tilt) 3.0 pol (922k pontos),Nao possui,25 pontos (contraste),Contraste - funciona em video,10 fps (3 fps com AF continuo),~13 fotos (aprox.),1080p 60fps sem crop (AVCHD),Sim (P2 3.5mm),Nao possui,Nenhuma
Canon,Rebel T4i,2012,DSLR,Canon EF / EF-S,APS-C,18,DIGIC 5,Não possui,575g,Pentaespelho - 95%,Articulada touch 3 pol (1040k pontos),Sim - com foco ao toque,9 pontos (todos em cruz),Híbrido CMOS AF - contínuo em vídeo,5 fps,~22 fotos (aprox.),1080p 30fps sem crop,Sim (P2 3.5mm),Não possui,Nenhuma
Canon,EOS 5D Mark III,2012,DSLR,Canon EF,Full Frame,22.3,DIGIC 5+,Nao possui,860g,Pentaprisma - 100%,Fixa 3.2 pol (1040k pontos),Nao possui,61 pontos (41 em cruz),Contraste (Live View) - funciona em video,6 fps,13 fotos,1080p 30fps sem crop,Sim (P2 3.5mm),Sim (P2 3.5mm),Nenhuma (sem Wi-Fi integrado)
Canon,EOS 6D,2012,DSLR,Canon EF,Full Frame,20.2,DIGIC 5+,Nao possui,680g,Pentaprisma - 97% (aprox.),Fixa 3.0 pol (1040k pontos),Nao possui,11 pontos (1 em cruz central),Contraste (Live View) - funciona em video,4.5 fps,~17 fotos (aprox.),1080p 30fps sem crop,Sim (P2 3.5mm),Nao possui,Wi-Fi + GPS
Canon,EOS M,2012,Mirrorless,Canon EF-M,APS-C,18,DIGIC 5,Nao possui,262g,Nao possui visor integrado (sem EVF),Fixa touch 3.0 pol (1040k pontos),Sim - com foco ao toque,Nao divulgado (Hibrido CMOS AF),Hibrido CMOS AF (contraste + fase) - funciona em video - porem lento (criticada na epoca pela velocidade de AF),4.3 fps,~5 fotos (aprox.),1080p 24fps sem crop (aprox.),Nao possui,Nao possui,Wi-Fi
Sony,NEX-F3,2012,Mirrorless,Sony E-mount,APS-C,16.1,BIONZ,Nao possui,314g,Nao possui,Articulada (180 para cima) 3.0 pol (920k pontos - aprox.),Nao possui,25 pontos (contraste),Contraste - funciona em video,~5.5 fps (aprox.),~13 fotos (aprox.),1080p 60fps sem crop (AVCHD),Nao possui,Nao possui,Nenhuma
Sony,NEX-5R,2012,Mirrorless,Sony E-mount,APS-C,16,BIONZ,Nao possui,276g,Nao possui visor integrado (opcional externo eletronico),Articulada (180 para cima) touch 3.0 pol (920k pontos),Sim - com foco ao toque,99 pontos fase + 25 pontos contraste (hibrido),Hibrido (fase + contraste) - funciona em video,10 fps (3 fps com AF continuo),~17 fotos (aprox.),1080p 60fps sem crop,Nao possui (aprox.),Nao possui,Wi-Fi
Sony,NEX-6,2012,Mirrorless,Sony E-mount,APS-C,16.1,BIONZ,Nao possui,~345g (aprox.),Eletronico OLED integrado (2360k pontos),Fixa (tilt) touch 3.0 pol (920k pontos - aprox.),Sim - com foco ao toque,99 pontos fase + 25 pontos contraste (hibrido) - primeira NEX com AF hibrido,Hibrido (fase + contraste) - funciona em video,10 fps (3 fps com AF continuo),~17 fotos (aprox.),1080p 60fps sem crop,Sim (P2 3.5mm),Nao possui,Wi-Fi (primeira NEX com Wi-Fi e apps via PlayMemories)
